CellType	Edge	Face	Marker
Lamp5 Lhx6	#000000	#6629FE	o
Lamp5 Lsp1	#000000	#5E35FE	o
Lamp5 Ntn1 Npy2r	#000000	#5444FD	o
Lamp5 Plch2 Dock5	#000000	#4C50FC	o
Pvalb Akr1c18 Ntf3	#000000	#445CFB	o
Pvalb Calb1 Sst	#000000	#396BF9	o
Pvalb Gabrg1	#000000	#3176F8	o
Pvalb Gpr149 Islr	#000000	#2884F6	o
Pvalb Reln Itm2a	#000000	#208EF4	o
Pvalb Reln Tac1	#000000	#1898F2	o
Pvalb Sema3e Kank4	#000000	#0EA5EF	o
Pvalb Th Sst	#000000	#06AEED	o
Pvalb Tpbg	#000000	#04B9EA	o
Pvalb Vipr2	#000000	#0DC2E8	o
Serpinf1 Aqp5 Vip	#000000	#17CBE4	o
Serpinf1 Clrn1	#000000	#1FD3E1	o
Sncg Gpr50	#000000	#27DADE	o
Sncg Slc17a8	#000000	#30E1DA	o
Sncg Vip Itih5	#000000	#38E7D7	o
Sncg Vip Nptx2	#000000	#42EDD3	o
Sst Calb2 Necab1	#000000	#4AF2CF	o
Sst Calb2 Pdlim5	#000000	#52F5CB	o
Sst Chodl	#000000	#5DF9C7	o
Sst Chrna2 Glra3	#000000	#64FBC3	o
Sst Chrna2 Ptgdr	#000000	#6EFEBE	o
Sst Crh 4930553C11Rik 	#000000	#76FFB9	o
Sst Crhr2 Efemp1	#000000	#80FFB4	o
Sst Esm1	#000000	#88FFAF	o
Sst Hpse Cbln4	#000000	#90FEAB	o
Sst Hpse Sema3c	#000000	#9BFBA5	o
Sst Mme Fam114a1	#000000	#A2F9A0	o
Sst Myh8 Etv1 	#000000	#ACF59A	o
Sst Myh8 Fibin	#000000	#B4F295	o
Sst Nr2f2 Necab1	#000000	#BCED8F	o
Sst Nts	#000000	#C6E789	o
Sst Rxfp1 Eya1	#000000	#CEE184	o
Sst Rxfp1 Prdm8	#000000	#D9DA7D	o
Sst Tac1 Htr1d	#000000	#E0D377	o
Sst Tac1 Tacr3	#000000	#E8CB72	o
Sst Tac2 Myh4	#000000	#F2C26B	o
Sst Tac2 Tacstd2	#000000	#FBB965	o
Vip Arhgap36 Hmcn1	#000000	#FFAE5E	o
Vip Chat Htr1f	#000000	#FFA558	o
Vip Col15a1 Pde1a	#000000	#FF9850	o
Vip Crispld2 Htr2c	#000000	#FF8E4A	o
Vip Crispld2 Kcne4	#000000	#FF8444	o
Vip Gpc3 Slc18a3	#000000	#FF763D	o
Vip Igfbp4 Mab21l1	#000000	#FF6B37	o
Vip Igfbp6 Car10	#000000	#FF5C2F	o
Vip Lect1 Oxtr	#000000	#FF5029	o
Vip Lmo1 Fam159b	#000000	#FF4422	o
Vip Lmo1 Myl1	#000000	#FF351B	o
Vip Ptprt Pkp2	#000000	#FF2914	o
Vip Pygm C1ql1	#000000	#FF190D	o
Vip Rspo1 Itga4	#000000	#FF0D06	o
Vip Rspo4 Rxfp1 Chat	#000000	#FF0000	o
