	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
GSM1474316	sscortex	1.383346	0.373753	27.018041762509164	4.19	5.431
GSM1474317	sscortex	2.590527	0.846834	32.68964191456024	5.89	7.8
GSM1474319	sscortex	4.254772	1.544975	36.31158144314196	6.442	9.024
GSM1474321	sscortex	2.34116	0.675939	28.871969451041362	4.609	5.936
GSM1474322	sscortex	2.13424	0.630948	29.56312317265162	4.498	5.797
GSM1474323	sscortex	2.339335	0.647243	27.66782012836981	4.566	5.975
GSM1474324	sscortex	2.387269	0.942042	39.46107455841801	5.686	7.833
GSM1474325	sscortex	1.878769	0.602572	32.072702924095516	4.701	6.114
GSM1474326	sscortex	1.63087	0.460136	28.214143371329413	4.44	5.723
GSM1474327	sscortex	3.861394	1.477106	38.25318006916673	6.564	9.011
GSM1474328	sscortex	2.920445	1.026714	35.15608066578894	5.753	7.918
GSM1474329	sscortex	2.185785	0.688414	31.495046402093525	4.864	6.444
GSM1474330	sscortex	2.167579	0.572147	26.395670007875143	4.491	5.754
GSM1474331	sscortex	1.790804	0.312876	17.471258719547198	3.857	4.78
GSM1474332	sscortex	2.492135	0.690032	27.68838766760227	5.471	7.469
GSM1474333	sscortex	2.329702	0.663692	28.488278758399137	4.857	6.359
GSM1474334	sscortex	1.631719	0.567147	34.75763902975941	5.067	6.715
GSM1474335	sscortex	1.496006	0.534568	35.73301176599559	4.185	5.444
GSM1474336	sscortex	1.34389	0.430503	32.034095052422444	4.057	5.225
GSM1474337	sscortex	1.382739	0.40788	29.497974672009686	4.349	5.627
GSM1474338	sscortex	2.850671	0.891924	31.28821249453199	5.472	7.312
GSM1474339	sscortex	3.775933	1.162298	30.781743214193686	5.859	7.942
GSM1474340	sscortex	3.093725	1.030826	33.31989753452553	5.825	7.901
GSM1474341	sscortex	2.607313	0.839178	32.1855488773308	5.824	7.864
GSM1474342	sscortex	1.389575	0.361878	26.04235107856719	4.05	5.136
GSM1474343	sscortex	2.1783	0.676006	31.033650094110083	4.827	6.242
GSM1474344	sscortex	2.363717	0.884658	37.42656163999329	6.373	9.05
GSM1474345	sscortex	3.627812	1.275752	35.16587959905309	6.337	8.827
GSM1474346	sscortex	1.673017	0.422209	25.23638432843181	4.498	5.859
GSM1474348	sscortex	1.174849	0.269793	22.96405750866707	3.833	4.847
GSM1474350	sscortex	2.735819	1.0125	37.009027278485895	5.587	7.518
GSM1474351	sscortex	1.237203	0.301824	24.39567314337259	3.817	4.822
GSM1474354	sscortex	2.070262	0.561671	27.130430834358165	5.067	6.677
GSM1474356	sscortex	1.734216	0.434043	25.02819717959009	4.199	5.408
GSM1474357	sscortex	2.141532	0.644938	30.11573023424352	4.865	6.377
GSM1474358	sscortex	1.243792	0.25205	20.26464231961614	3.936	4.938
GSM1474359	sscortex	5.135519	1.452516	28.283723611965993	7.364	10.252
GSM1474360	sscortex	2.466505	0.978048	39.65319348632985	6.17	8.579
GSM1474362	sscortex	2.493568	0.883777	35.44226586160875	5.817	7.985
GSM1474363	sscortex	1.870227	0.574985	30.744128921248592	5.028	6.6
GSM1474364	sscortex	2.118726	0.555026	26.19621414000678	4.829	6.268
GSM1474366	sscortex	1.072582	0.213161	19.873632039321937	3.845	4.813
GSM1474367	sscortex	1.582583	0.438175	27.68733140694674	4.715	6.205
GSM1474368	sscortex	1.213515	0.211275	17.410167983090442	3.869	4.985
GSM1474369	sscortex	2.474514	0.683316	27.61414968757501	5.432	7.261
GSM1474370	sscortex	1.967966	0.566583	28.790283978483366	4.548	5.947
GSM1474371	sscortex	3.300449	0.870728	26.3821074041744	7.003	9.625
GSM1474372	sscortex	3.946073	1.448804	36.71508357802808	6.624	9.395
GSM1474373	sscortex	1.340856	0.273656	20.40905212789442	4.223	5.302
GSM1474374	sscortex	5.671532	2.043253	36.02647397563833	8.465	12.665
GSM1474375	sscortex	1.407134	0.449599	31.951399084948555	5.383	7.01
GSM1474376	sscortex	1.892702	0.667118	35.24685872366595	5.631	7.552
GSM1474377	sscortex	2.733485	1.075639	39.350462870657786	6.904	9.65
GSM1474378	sscortex	1.74096	0.439948	25.270425512360994	4.381	5.594
GSM1474379	sscortex	3.673178	1.558222	42.42163053355977	6.836	9.703
GSM1474380	sscortex	1.8122	0.372092	20.532612294448736	5.045	6.458
GSM1474383	sscortex	1.058776	0.218243	20.61276417296954	4.022	4.974
GSM1474385	sscortex	1.026927	0.244646	23.823114982856623	4.011	5.008
GSM1474386	sscortex	1.817128	0.634094	34.89539537115712	5.367	7.05
GSM1474387	sscortex	1.687376	0.696122	41.254705530954574	5.756	7.685
GSM1474388	sscortex	2.028992	0.707449	34.86701771125761	5.129	6.85
GSM1474390	sscortex	1.888036	0.667269	35.34196381848651	5.588	7.437
GSM1474391	sscortex	1.04342	0.193299	18.52552184163616	3.824	4.741
GSM1474392	sscortex	1.449921	0.278318	19.195390645421373	4.996	6.3
GSM1474393	sscortex	1.161753	0.406395	34.98118791171617	5.093	6.688
GSM1474394	sscortex	1.895273	0.609835	32.17663101832823	6.359	8.674
GSM1474397	sscortex	1.704257	0.63482	37.24907687044853	5.726	7.584
GSM1474399	sscortex	3.343174	0.742723	22.216103618896295	9.926	14.624
GSM1474400	sscortex	1.963273	0.722848	36.81851683387894	5.703	7.552
GSM1474402	sscortex	2.514963	0.784793	31.204952120567974	6.391	8.747
GSM1474403	sscortex	2.575928	0.860336	33.39907016034609	7.125	9.862
GSM1474404	sscortex	1.342967	0.283858	21.136632545699186	5.324	6.951
GSM1474405	sscortex	1.176604	0.460266	39.1181739990685	5.305	7.03
GSM1474406	sscortex	1.929644	0.49256	25.525951937248532	5.279	6.825
GSM1474407	sscortex	1.583614	0.497965	31.444847039745795	4.578	5.851
GSM1474408	sscortex	1.232715	0.208236	16.892469062191992	3.693	4.556
GSM1474409	sscortex	3.422401	1.397433	40.83194809725686	6.89	9.847
GSM1474412	sscortex	1.645519	0.490564	29.812113989568033	4.844	6.263
GSM1474413	sscortex	0.756595	0.172018	22.735809779340336	3.873	4.908
GSM1474415	sscortex	1.962406	0.561465	28.611051943379707	4.852	6.354
GSM1474416	sscortex	2.959412	1.198756	40.50656008693619	6.322	8.85
GSM1474417	sscortex	1.723705	0.627631	36.41174098816213	5.063	6.676
GSM1474418	sscortex	1.799038	0.526384	29.259192968686598	5.225	6.746
GSM1474419	sscortex	2.232885	0.78808	35.29424936797014	5.233	7.009
GSM1474420	sscortex	1.646413	0.560996	34.073832021491576	4.845	6.259
GSM1474421	sscortex	1.992937	0.620363	31.128078810318645	4.574	5.923
GSM1474424	sscortex	2.06007	0.585455	28.41917993077905	4.641	6.04
GSM1474425	sscortex	2.191804	0.481144	21.95196285799278	5.577	7.298
GSM1474426	sscortex	3.793392	1.510071	39.80793442913361	6.722	9.501
GSM1474427	sscortex	1.348947	0.264683	19.621452881395637	3.685	4.543
GSM1474431	sscortex	3.300673	1.545821	46.83350940853577	8.599	12.995
GSM1474432	sscortex	1.163698	0.234928	20.18805566392655	4.943	6.362
GSM1474433	sscortex	1.488761	0.545093	36.613868847988364	5.512	7.339
GSM1474436	sscortex	2.347401	0.330241	14.068367526468634	5.651	7.4
GSM1474437	sscortex	2.206491	0.755026	34.21840379135922	6.982	9.921
GSM1474438	sscortex	1.863809	0.551117	29.56939257187834	5.821	7.976
GSM1474440	sscortex	1.233487	0.286353	23.214918357469514	4.275	5.441
GSM1474443	sscortex	1.719598	0.561785	32.66955416324048	5.616	7.678
GSM1474445	sscortex	1.271081	0.366015	28.795568496421552	5.685	7.608
GSM1474446	sscortex	3.473676	0.722251	20.792123387443155	6.605	9.027
GSM1474447	sscortex	1.55054	0.376119	24.257291008293883	5.123	6.727
GSM1474448	sscortex	2.691754	0.374002	13.89436033159048	4.668	5.908
GSM1474449	sscortex	2.415221	0.737679	30.54291926080471	5.945	7.871
GSM1474451	sscortex	0.772688	0.212552	27.508127471890333	4.871	6.328
GSM1474454	sscortex	2.735597	0.758162	27.714681658153594	6.165	8.481
GSM1474455	sscortex	3.010487	0.854932	28.39846177711447	7.518	10.641
GSM1474456	sscortex	1.849715	0.301905	16.32170361379996	4.448	5.556
GSM1474458	sscortex	1.188855	0.326342	27.450109559197717	5.305	7.006
GSM1474459	sscortex	2.681049	0.390901	14.580151276608522	4.49	5.623
GSM1474460	sscortex	1.898372	0.617423	32.52381514265908	6.57	9.092
GSM1474462	sscortex	1.514339	0.547828	36.17604776737573	8.331	12.338
GSM1474466	sscortex	2.234915	0.51056	22.84471668944904	5.068	6.627
GSM1474467	sscortex	2.928174	0.941746	32.16154504479584	6.701	9.182
GSM1474468	sscortex	2.424875	0.532543	21.961668127223053	5.306	6.952
GSM1474469	sscortex	1.918409	0.667019	34.769384422195685	6.202	8.536
GSM1474470	sscortex	3.554788	0.689976	19.409765083037303	6.233	8.3
GSM1474471	sscortex	2.616659	0.869936	33.24605919227535	6.99	9.711
GSM1474473	sscortex	3.888933	0.733561	18.862783185002158	5.511	7.099
GSM1474474	sscortex	2.968156	0.631439	21.27378075815422	6.647	9.344
GSM1474475	sscortex	3.333188	0.980111	29.40461204108499	7.828	11.214
GSM1474476	sscortex	1.596591	0.334768	20.96767425095093	5.102	6.757
GSM1474477	sscortex	2.927115	0.699367	23.89270664118082	6.209	8.352
GSM1474478	sscortex	2.922338	0.970504	33.20984773150813	8.107	11.944
GSM1474479	sscortex	5.066703	1.790419	35.336963702036606	7.787	11.042
GSM1474480	sscortex	3.4701	1.219355	35.138900896227774	7.311	10.336
GSM1474482	sscortex	2.242113	0.473037	21.097821563855167	5.258	6.877
GSM1474483	sscortex	2.794222	1.009551	36.129949588830094	8.86	13.167
GSM1474484	sscortex	2.894496	0.888614	30.700128796170382	5.534	7.371
GSM1474485	sscortex	1.932543	0.658484	34.073446231209346	5.965	8.113
GSM1474486	sscortex	3.885047	0.722514	18.59730397083999	6.831	9.192
GSM1474488	sscortex	3.191622	0.992038	31.082565541909407	7.799	11.044
GSM1474489	sscortex	3.299742	0.756513	22.926428793523858	5.807	7.815
GSM1474490	sscortex	3.167247	0.31284	9.877347740798239	3.669	4.548
GSM1474493	sscortex	2.153206	0.288594	13.402990703165422	4.144	5.206
GSM1474494	sscortex	2.197948	0.431136	19.615386715245315	5.894	8.017
GSM1474495	sscortex	2.374616	0.344345	14.501081438009344	4.83	6.183
GSM1474496	sscortex	1.580028	0.330333	20.906781398810654	4.811	6.249
GSM1474499	sscortex	1.419324	0.229528	16.171642274773063	3.819	4.675
GSM1474500	sscortex	3.440984	0.68178	19.81351845867345	5.651	7.572
GSM1474501	sscortex	1.585489	0.349664	22.05401614265378	4.543	5.834
GSM1474502	sscortex	3.318267	0.722661	21.778265582606824	6.702	9.193
GSM1474503	sscortex	2.239214	0.458439	20.473210689107873	5.526	7.171
GSM1474504	sscortex	3.113929	0.43522	13.97655502100401	4.409	5.632
GSM1474505	sscortex	1.043987	0.187147	17.926181073135968	3.785	4.668
GSM1474506	sscortex	2.484304	0.365337	14.705808950917444	4.777	6.141
GSM1474509	sscortex	1.469286	0.349653	23.797477141958744	6.567	8.987
GSM1474511	sscortex	2.329382	0.350665	15.05399286162596	5.087	6.477
GSM1474512	sscortex	1.582883	0.363953	22.993044969211244	6.116	8.428
GSM1474514	sscortex	4.587335	0.588802	12.835382635015755	5.114	6.626
GSM1474517	sscortex	2.817269	0.777029	27.580930326497043	7.515	10.74
GSM1474518	sscortex	3.638079	0.672629	18.488575976497486	5.223	6.759
GSM1474519	sscortex	1.889142	0.351892	18.627080441809028	5.685	7.501
GSM1474522	sscortex	2.584159	0.629053	24.342658481927774	5.863	7.895
GSM1474523	sscortex	4.628446	0.9193	19.861957987626948	7.153	9.92
GSM1474524	sscortex	2.007277	0.191695	9.550002316571154	3.818	4.72
GSM1474527	sscortex	4.275355	1.13019	26.4349977955047	8.373	12.209
GSM1474528	sscortex	2.349195	0.687817	29.278838070062303	6.311	8.53
GSM1474529	sscortex	1.208439	0.282266	23.357902219309373	5.084	6.546
GSM1474530	sscortex	2.066473	0.550252	26.627592037253816	6.178	8.303
GSM1474531	sscortex	1.620678	0.375403	23.163330408631445	5.852	7.775
GSM1474532	sscortex	1.440471	0.234767	16.297933106601935	4.649	5.974
GSM1474533	sscortex	1.983434	0.502904	25.355217264602707	5.726	7.661
GSM1474534	sscortex	1.46976	0.270914	18.432533202699762	4.878	6.27
GSM1474535	sscortex	1.529426	0.289614	18.93612374838665	5.263	6.928
GSM1474536	sscortex	1.115245	0.243791	21.859860389421158	4.493	5.795
GSM1474537	sscortex	1.809251	0.586918	32.43983283690323	6.139	8.233
GSM1474538	sscortex	1.762321	0.316975	17.98622384911716	5.019	6.489
GSM1474539	sscortex	1.339227	0.289959	21.65122118953695	3.926	4.781
GSM1474540	sscortex	0.894005	0.23722	26.53452721181648	4.577	5.888
GSM1474541	sscortex	1.737728	0.326924	18.813301045963467	4.72	6.072
GSM1474542	sscortex	2.091997	0.390024	18.643621381866225	4.246	5.315
GSM1474543	sscortex	1.665845	0.362455	21.758026707166632	5.259	6.884
GSM1474544	sscortex	1.412448	0.314523	22.26793481954734	4.49	5.706
GSM1474545	sscortex	2.221889	0.483503	21.760898046662096	5.169	6.667
GSM1474547	sscortex	1.928597	0.566802	29.389343652406392	5.761	7.727
GSM1474548	sscortex	1.956529	0.457964	23.406962023052046	5.722	7.471
GSM1474549	sscortex	2.192489	0.665292	30.344143117707773	6.761	9.5
GSM1474550	sscortex	1.441844	0.389104	26.98655333031868	5.853	7.973
GSM1474551	sscortex	1.921811	0.465212	24.206958956942177	5.171	6.736
GSM1474552	sscortex	1.693876	0.276154	16.30308239800316	4.516	5.742
GSM1474553	sscortex	2.285177	0.646506	28.291287720819874	6.501	8.902
GSM1474554	sscortex	1.671072	0.45489	27.221448267938186	5.633	7.321
GSM1474555	sscortex	1.643167	0.286746	17.450812972753226	4.176	5.287
GSM1474556	sscortex	1.20378	0.32093	26.66018707737294	4.411	5.588
GSM1474557	sscortex	1.412592	0.194852	13.793933421681562	4.082	5.045
GSM1474558	sscortex	1.545429	0.393757	25.478815267475895	5.647	7.542
GSM1474559	sscortex	1.456905	0.303107	20.804856871244183	4.5	5.73
GSM1474560	sscortex	1.68498	0.285999	16.973435886479365	4.491	5.676
GSM1474561	sscortex	2.20995	0.768426	34.77119391841445	6.676	9.239
GSM1474562	sscortex	1.313772	0.365533	27.82316870811678	5.77	7.709
GSM1474563	sscortex	2.381836	0.757897	31.819865011696862	7.197	10.217
GSM1474564	sscortex	2.437119	1.167862	47.91977740930993	9.398	14.422
GSM1474565	sscortex	1.088851	0.293107	26.918926464686173	4.837	6.343
GSM1474566	sscortex	2.429936	0.621912	25.593760494103545	6.923	9.431
GSM1474567	sscortex	2.748202	0.380357	13.840212619014178	4.998	6.412
GSM1474568	sscortex	1.452356	0.560834	38.61546342632248	8.353	12.09
GSM1474569	sscortex	1.559603	0.307863	19.739831226280018	5.002	6.515
GSM1474570	sscortex	1.688666	0.466533	27.627310551642537	7.125	9.981
GSM1474571	sscortex	1.228098	0.246449	20.067535326985308	4.575	5.817
GSM1474572	sscortex	1.097067	0.319008	29.078260489104128	4.797	6.147
GSM1474573	sscortex	2.167284	0.527198	24.32528454969446	5.692	7.612
GSM1474574	sscortex	2.19129	0.493285	22.511169219957196	5.921	7.887
GSM1474575	sscortex	2.130646	0.323088	15.163851714456552	5.764	7.665
GSM1474576	sscortex	1.807473	0.288178	15.943695977754576	4.571	5.833
GSM1474577	sscortex	1.690026	0.268637	15.895435928204654	5.029	6.554
GSM1474578	sscortex	1.615209	0.370413	22.932821696758747	5.626	7.467
GSM1474579	sscortex	1.90364	0.309797	16.273927843499823	4.739	6.097
GSM1474580	sscortex	2.377941	0.384436	16.166759393946275	5.402	6.827
GSM1474581	sscortex	1.855876	0.744966	40.14093614013005	7.833	11.327
GSM1474582	sscortex	1.683131	0.453185	26.925117533929328	6.212	8.19
GSM1474583	sscortex	1.612368	0.729902	45.26894604705626	8.24	12.023
GSM1474584	sscortex	3.180488	1.155628	36.334927218716125	9.918	15.248
GSM1474587	sscortex	1.124164	0.37643	33.48532776356475	5.838	7.81
GSM1474588	sscortex	1.211044	0.335692	27.71922407443495	4.75	6.017
GSM1474589	sscortex	0.95605	0.228315	23.881073165629413	3.767	4.617
GSM1474590	sscortex	1.3293	0.565571	42.54652824795006	7.416	10.498
GSM1474591	sscortex	1.00974	0.388252	38.45069027670489	5.84	7.88
GSM1474592	sscortex	1.278999	0.235131	18.383986226728872	4.171	5.167
GSM1474594	sscortex	1.689322	0.778166	46.063805479357995	7.951	11.641
GSM1474595	sscortex	2.33925	0.966742	41.3270065191835	7.976	11.526
GSM1474596	sscortex	1.754859	0.713088	40.635059568888444	7.538	10.861
GSM1474597	sscortex	1.355666	0.353638	26.085923818993763	4.15	5.203
GSM1474598	sscortex	1.652474	0.665899	40.297093933096676	6.674	9.25
GSM1474599	sscortex	0.954616	0.293587	30.754460432257574	3.764	4.58
GSM1474600	sscortex	1.942237	0.8006	41.22051016431054	7.941	11.569
GSM1474601	sscortex	1.751013	0.566692	32.3636660607317	5.312	6.714
GSM1474602	sscortex	2.124912	0.835703	39.328828676199294	11.273	18.169
GSM1474603	sscortex	2.784472	1.130747	40.60902749246536	8.117	11.846
GSM1474604	sscortex	1.401994	0.554053	39.51892804106152	6.695	9.231
GSM1474606	sscortex	2.070248	0.815478	39.39035323304261	6.184	8.338
GSM1474607	sscortex	1.143957	0.368959	32.25287314121073	4.088	5.063
GSM1474608	sscortex	2.099657	0.830135	39.536695755544834	5.932	7.987
GSM1474609	sscortex	1.607798	0.484152	30.112738042963112	5.81	7.546
GSM1474610	sscortex	1.45869	0.585425	40.13361303635453	7.02	9.791
GSM1474613	sscortex	1.730441	0.714908	41.31363045605138	6.184	8.368
GSM1474614	sscortex	2.400469	1.017095	42.37067839659667	8.321	12.157
GSM1474615	sscortex	1.097465	0.239131	21.789396472780457	4.232	5.303
GSM1474616	sscortex	1.32814	0.515907	38.84432364058006	5.963	8.028
GSM1474618	sscortex	1.816103	0.750094	41.30239309114076	6.088	8.003
GSM1474619	sscortex	1.516849	0.691166	45.565906692096576	7.25	10.389
GSM1474620	sscortex	0.944734	0.198358	20.99617458459207	3.861	4.726
GSM1474621	sscortex	1.29654	0.480741	37.078763478180385	6.142	8.294
GSM1474622	sscortex	1.122902	0.300263	26.739911408119315	4.502	5.666
GSM1474623	sscortex	1.282848	0.353708	27.572089600638584	4.631	5.738
GSM1474626	sscortex	1.916586	0.472499	24.653159315574673	6.05	8.034
GSM1474631	sscortex	3.570194	1.19869	33.57492618048207	7.127	10.06
GSM1474632	sscortex	2.919771	0.935453	32.03857425804969	7.013	9.751
GSM1474633	sscortex	3.470407	1.40085	40.36558248067158	9.24	14.229
GSM1474634	sscortex	1.535211	0.24762	16.12937895833211	4.094	5.068
GSM1474635	sscortex	1.23038	0.384166	31.223361888197143	5.024	6.606
GSM1474636	sscortex	1.624966	0.325936	20.058019675488598	4.426	5.525
GSM1474639	sscortex	1.443228	0.475805	32.96811037479871	5.583	7.418
GSM1474640	sscortex	2.52329	0.75005	29.72508114406192	8.481	12.423
GSM1474642	sscortex	1.400074	0.532195	38.011919369976155	6.482	8.996
GSM1474643	sscortex	3.201584	1.059326	33.087559158216685	7.133	9.84
GSM1474644	sscortex	1.933303	0.796288	41.18795656966342	7.262	10.33
GSM1474645	sscortex	4.729754	1.362193	28.80050421226981	7.642	10.664
GSM1474646	sscortex	1.820136	0.307023	16.868135128364035	4.366	5.427
GSM1474647	sscortex	3.125453	1.299554	41.57970060660007	9.618	14.949
GSM1474648	sscortex	2.422658	0.976137	40.29198508415137	8.651	12.993
GSM1474649	sscortex	1.503395	0.37242	24.771932858629967	5.028	6.551
GSM1474650	sscortex	1.705663	0.438673	25.718620853005547	5.323	6.983
GSM1474651	sscortex	4.403799	1.476587	33.52984548114026	9.477	14.329
GSM1474652	sscortex	1.071255	0.30903	28.847473290673094	5.777	7.631
GSM1474653	sscortex	3.101967	0.638081	20.57020593707154	5.373	6.891
GSM1474654	sscortex	2.687516	0.445871	16.590450066157747	5.206	6.629
GSM1474655	sscortex	2.209754	0.431028	19.505700634550273	4.699	5.926
GSM1474656	sscortex	1.454842	0.400152	27.50484245024546	5.485	7.25
GSM1474657	sscortex	1.5439	0.286937	18.58520629574454	5.058	6.52
GSM1474658	sscortex	1.610387	0.568835	35.32287580562933	7.825	11.158
GSM1474659	sscortex	3.812529	1.392692	36.5293483669239	8.268	11.954
GSM1474661	sscortex	3.713215	1.115697	30.046657680742968	9.623	14.892
GSM1474663	sscortex	3.61785	0.592319	16.37212709205744	5.932	7.74
GSM1474664	sscortex	2.179441	0.839031	38.497532165357995	7.562	10.872
GSM1474665	sscortex	1.345361	0.461384	34.29443844440265	6.004	8.282
GSM1474666	sscortex	4.071561	1.268951	31.16620382207217	7.462	10.5
GSM1474667	sscortex	2.796268	0.586314	20.967732706593218	5.484	7.087
GSM1474669	sscortex	3.070071	1.12556	36.662344291060364	8.435	12.13
GSM1474670	sscortex	1.257924	0.253555	20.156623134624983	4.134	5.163
GSM1474671	sscortex	3.271258	1.188798	36.34069828793693	7.246	10.127
GSM1474672	sscortex	3.529419	1.448973	41.054150838990786	7.863	11.321
GSM1474673	sscortex	1.440659	0.451113	31.312961637694976	5.987	8.047
GSM1474674	sscortex	3.399823	0.480405	14.130294430033564	5.529	7.12
GSM1474675	sscortex	3.405795	1.188407	34.893673870564726	9.95	15.303
GSM1474676	sscortex	2.637256	0.520296	19.728687696605867	4.696	5.948
GSM1474678	sscortex	3.214657	1.023123	31.82681698234057	8.457	12.303
GSM1474680	sscortex	4.708582	1.806895	38.37450425627079	10.515	16.726
GSM1474681	sscortex	3.605404	1.423866	39.49255062678135	9.967	15.785
GSM1474682	sscortex	1.79366	0.43099	24.028522685458782	4.964	6.34
GSM1474683	sscortex	0.791844	0.285612	36.069225756588416	5.333	7.164
GSM1474684	sscortex	2.556745	0.395147	15.455080580973075	3.976	4.878
GSM1474685	sscortex	2.222479	0.521868	23.481346730385305	4.047	5.041
GSM1474686	sscortex	4.071574	1.320348	32.428441678820036	5.999	7.888
GSM1474687	sscortex	2.682001	0.368034	13.722366248185589	4.23	5.279
GSM1474688	sscortex	2.939814	1.047797	35.641608618776566	6.054	8.105
GSM1474689	sscortex	1.758434	0.523562	29.77433329883294	4.269	5.432
GSM1474690	sscortex	3.579702	0.845259	23.612552106292643	5.713	7.347
GSM1474691	sscortex	2.227588	0.541138	24.292553201040768	4.712	6.043
GSM1474692	sscortex	2.239293	0.914893	40.856332780033696	6.873	9.503
GSM1474694	sscortex	2.077513	0.723505	34.82553418438295	7.321	10.345
GSM1474696	sscortex	2.075682	0.851426	41.0190963741074	5.445	7.208
GSM1474697	sscortex	3.170271	1.067263	33.66472456140185	5.536	7.32
GSM1474698	sscortex	2.786715	0.803518	28.833877881304687	5.742	7.571
GSM1474699	sscortex	1.978146	0.365823	18.493225474762735	3.862	4.729
GSM1474701	sscortex	2.711717	0.728112	26.850589497355365	4.768	6.117
GSM1474704	sscortex	3.377849	0.956448	28.31529769388744	5.413	6.983
GSM1474705	sscortex	3.477018	1.367878	39.340549861979426	6.973	9.621
GSM1474706	sscortex	2.604469	0.913352	35.06864547053545	5.533	7.25
GSM1474707	sscortex	2.278566	0.776558	34.080996556606216	5.2	6.629
GSM1474708	sscortex	3.160799	1.041265	32.94309445175097	5.753	7.537
GSM1474711	sscortex	2.456797	0.964023	39.239017305866135	6.903	9.625
GSM1474712	sscortex	3.256446	1.250281	38.39403447807825	6.647	9.045
GSM1474713	sscortex	3.31443	0.630886	19.034524790084568	5.63	7.3
GSM1474715	sscortex	5.23359	1.03631	19.801130772567205	6.438	8.479
GSM1474716	sscortex	1.56855	0.614777	39.19396895221701	4.222	5.383
GSM1474718	sscortex	3.699059	0.549013	14.841963861619941	5.19	6.661
GSM1474719	sscortex	2.585521	0.561061	21.700113826188225	4.204	5.227
GSM1474720	sscortex	3.109022	1.025456	32.983233955887094	5.926	7.772
GSM1474722	sscortex	3.063822	0.833276	27.1972719041772	4.889	6.249
GSM1474723	sscortex	2.40297	0.972477	40.469793630382405	5.654	7.607
GSM1474724	sscortex	5.567757	1.915483	34.4031357690359	7.255	10.159
GSM1474725	sscortex	2.217514	0.601039	27.104180627495474	5.171	6.718
GSM1474726	sscortex	2.290835	0.397843	17.366724360331496	4.75	5.986
GSM1474727	sscortex	2.811365	1.061711	37.76496470575682	5.534	7.187
GSM1474728	sscortex	2.387364	0.799483	33.488106547639994	4.918	6.41
GSM1474729	sscortex	1.974748	0.374365	18.957608768308663	4.064	5.025
GSM1474730	sscortex	2.076598	0.688712	33.165398406432054	4.681	5.998
GSM1474733	sscortex	1.985278	0.261734	13.18374555100092	3.839	4.769
GSM1474735	sscortex	2.978412	1.084143	36.400034649336625	5.375	7.106
GSM1474736	sscortex	3.527795	0.878564	24.904054799102557	4.868	6.208
GSM1474739	sscortex	2.16588	0.823131	38.00446008089091	5.962	8.034
GSM1474740	sscortex	2.556712	0.720181	28.16824890719017	5.987	7.912
