Run,Age,Assay Type,AvgSpotLen,BioProject,BioSample,cell/tissue_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sample_type,source_name,SRA Study,replicate
SRR3082997,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383364,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514817,GSM2026627,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2018,1012,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233633,GSM2026627,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3082998,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383365,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514818,GSM2026628,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2471,1198,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233632,GSM2026628,single cell,CA1 pyramidal cell,SRP068021,
SRR3082999,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383366,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514819,GSM2026629,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,4132,1999,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233630,GSM2026629,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3083000,post natal week 3-4,RNA-Seq,260,PRJNA307566,SAMN04383367,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514820,GSM2026630,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2701,1307,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233631,GSM2026630,single cell,CA1 pyramidal cell,SRP068021,
SRR3083001,post natal week 3-4,RNA-Seq,263,PRJNA307566,SAMN04383368,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514821,GSM2026631,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,4609,2117,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233629,GSM2026631,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3083002,post natal week 3-4,RNA-Seq,255,PRJNA307566,SAMN04383369,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514822,GSM2026632,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1234,565,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233627,GSM2026632,single cell,CA1 pyramidal cell,SRP068021,
SRR3083003,post natal week 3-4,RNA-Seq,255,PRJNA307566,SAMN04383370,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514823,GSM2026633,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2093,965,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233626,GSM2026633,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083004,post natal week 3-4,RNA-Seq,257,PRJNA307566,SAMN04383371,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514824,GSM2026634,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2505,1150,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233625,GSM2026634,single cell,CA1 pyramidal cell,SRP068021,
SRR3083005,post natal week 3-4,RNA-Seq,265,PRJNA307566,SAMN04383372,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514825,GSM2026635,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,8375,3840,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233624,GSM2026635,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3083006,post natal week 3-4,RNA-Seq,264,PRJNA307566,SAMN04383373,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514826,GSM2026636,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,6407,2932,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233622,GSM2026636,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083007,post natal week 3-4,RNA-Seq,254,PRJNA307566,SAMN04383374,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514827,GSM2026637,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1772,811,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233623,GSM2026637,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083008,post natal week 3-4,RNA-Seq,263,PRJNA307566,SAMN04383375,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514828,GSM2026638,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,6134,2824,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233621,GSM2026638,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083009,post natal week 3-4,RNA-Seq,256,PRJNA307566,SAMN04383376,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514829,GSM2026639,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,3190,1455,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233620,GSM2026639,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3083010,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383377,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514830,GSM2026640,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2471,1131,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233619,GSM2026640,single cell,CA1 pyramidal cell,SRP068021,
SRR3083011,post natal week 3-4,RNA-Seq,259,PRJNA307566,SAMN04383378,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514831,GSM2026641,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1978,910,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233618,GSM2026641,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083012,post natal week 3-4,RNA-Seq,259,PRJNA307566,SAMN04383379,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514832,GSM2026642,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2021,932,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233628,GSM2026642,single cell,CA1 pyramidal cell,SRP068021,
SRR3083013,post natal week 3-4,RNA-Seq,253,PRJNA307566,SAMN04383380,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514833,GSM2026643,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2416,1103,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233616,GSM2026643,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3083014,post natal week 3-4,RNA-Seq,258,PRJNA307566,SAMN04383328,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514834,GSM2026644,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2960,1342,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233617,GSM2026644,single cell,CA1 pyramidal cell,SRP068021,
SRR3083015,post natal week 3-4,RNA-Seq,256,PRJNA307566,SAMN04383329,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514835,GSM2026645,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,3271,1495,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233615,GSM2026645,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083016,post natal week 3-4,RNA-Seq,257,PRJNA307566,SAMN04383330,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514836,GSM2026646,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,647,296,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233614,GSM2026646,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083017,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383381,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514837,GSM2026647,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,5304,2422,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233613,GSM2026647,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3083018,post natal week 3-4,RNA-Seq,256,PRJNA307566,SAMN04383382,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514838,GSM2026648,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1345,613,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233612,GSM2026648,single cell,CA1 pyramidal cell,SRP068021,
SRR3083019,post natal week 3-4,RNA-Seq,257,PRJNA307566,SAMN04383383,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514839,GSM2026649,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1809,830,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233611,GSM2026649,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083020,post natal week 3-4,RNA-Seq,259,PRJNA307566,SAMN04383324,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514840,GSM2026650,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,4498,2062,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233610,GSM2026650,single cell,CA1 pyramidal cell,SRP068021,
SRR3083021,post natal week 3-4,RNA-Seq,267,PRJNA307566,SAMN04383325,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514841,GSM2026651,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,11499,5293,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233609,GSM2026651,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3083022,post natal week 3-4,RNA-Seq,255,PRJNA307566,SAMN04383326,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514842,GSM2026652,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,570,259,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233608,GSM2026652,single cell,CA1 pyramidal cell,SRP068021,
SRR3083023,post natal week 3-4,RNA-Seq,252,PRJNA307566,SAMN04383327,CA1 parvalbumin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514843,GSM2026653,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,984,450,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233607,GSM2026653,single cell,CA1 fast-spiking interneuron,SRP068021,
SRR3083024,post natal week 3-4,RNA-Seq,245,PRJNA307566,SAMN04383331,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514844,GSM2026654,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,261,119,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233606,GSM2026654,single cell,CA1 pyramidal cell,SRP068021,
SRR3083025,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383332,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514845,GSM2026655,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,610,192,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233605,GSM2026655,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083026,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383333,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514846,GSM2026656,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,361,112,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233604,GSM2026656,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083027,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383334,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514847,GSM2026657,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,474,147,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233603,GSM2026657,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
SRR3083028,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383335,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514848,GSM2026658,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,403,130,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233602,GSM2026658,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083029,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383336,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514849,GSM2026659,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,288,90,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233601,GSM2026659,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083030,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383337,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514850,GSM2026660,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,607,189,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233600,GSM2026660,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083031,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383338,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514851,GSM2026661,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,545,170,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233599,GSM2026661,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083032,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383339,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514852,GSM2026662,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,577,179,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233598,GSM2026662,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
SRR3083033,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383340,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514853,GSM2026663,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,625,194,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233597,GSM2026663,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
SRR3083034,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383341,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514854,GSM2026664,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,649,201,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233596,GSM2026664,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083035,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383342,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514855,GSM2026665,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,652,207,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233595,GSM2026665,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083036,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383343,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514856,GSM2026666,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,720,225,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233594,GSM2026666,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083037,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383344,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514857,GSM2026667,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,721,223,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233593,GSM2026667,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083038,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383345,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514858,GSM2026668,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,571,180,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233592,GSM2026668,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083039,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383346,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514859,GSM2026669,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,506,155,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233591,GSM2026669,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083040,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383347,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514860,GSM2026670,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,392,124,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233590,GSM2026670,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083041,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383348,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514861,GSM2026671,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1026,323,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233589,GSM2026671,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
SRR3083042,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383349,Subiculum burst firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514862,GSM2026672,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,602,188,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233588,GSM2026672,single cell,Subiculum burst-spiking pyramidal cell,SRP068021,
SRR3083043,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383350,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514863,GSM2026673,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,528,177,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233587,GSM2026673,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
SRR3083044,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383351,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514864,GSM2026674,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,656,205,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233586,GSM2026674,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
SRR3083045,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383352,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514865,GSM2026675,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,756,237,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233585,GSM2026675,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
SRR3083046,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383353,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514866,GSM2026676,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,694,223,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233584,GSM2026676,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
SRR3083047,post natal week 3-4,RNA-Seq,128,PRJNA307566,SAMN04383384,Subiculum regular firing pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514867,GSM2026677,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,471,147,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233583,GSM2026677,single cell,Subiculum regular-spiking pyramidal cell,SRP068021,
