Run,Assay Type,AvgSpotLen,BioProject,BioSample,cell_id,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,source_name,SRA Study,strain,tissue
SRR7770331,RNA-Seq,46,PRJNA488609,SAMN09937909,115,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625904,GSM3362209,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,21,17,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727439,GSM3362209,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770332,RNA-Seq,46,PRJNA488609,SAMN09937908,117,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625905,GSM3362210,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,6,5,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727438,GSM3362210,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770333,RNA-Seq,46,PRJNA488609,SAMN09937907,120,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625906,GSM3362211,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,10,9,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727440,GSM3362211,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770334,RNA-Seq,46,PRJNA488609,SAMN09937906,121,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625907,GSM3362212,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,21,18,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727441,GSM3362212,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770335,RNA-Seq,46,PRJNA488609,SAMN09937905,122,Npy/Mia,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625908,GSM3362213,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,16,14,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727442,GSM3362213,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770336,RNA-Seq,46,PRJNA488609,SAMN09937939,126,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625909,GSM3362214,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,19,15,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727443,GSM3362214,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770337,RNA-Seq,46,PRJNA488609,SAMN09937938,131,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625910,GSM3362215,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,20,17,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727445,GSM3362215,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770338,RNA-Seq,46,PRJNA488609,SAMN09937937,140,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625911,GSM3362216,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,30,25,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727444,GSM3362216,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770339,RNA-Seq,46,PRJNA488609,SAMN09937936,142,Npy/Mia,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625912,GSM3362217,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,24,20,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727446,GSM3362217,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770340,RNA-Seq,46,PRJNA488609,SAMN09937935,143,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625913,GSM3362218,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,13,11,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727448,GSM3362218,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770341,RNA-Seq,46,PRJNA488609,SAMN09937934,144,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625914,GSM3362219,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,19,16,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727449,GSM3362219,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770342,RNA-Seq,46,PRJNA488609,SAMN09937933,145,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625915,GSM3362220,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,21,17,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727447,GSM3362220,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770343,RNA-Seq,46,PRJNA488609,SAMN09937932,146,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625916,GSM3362221,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,29,24,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727451,GSM3362221,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770344,RNA-Seq,46,PRJNA488609,SAMN09937931,151,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625917,GSM3362222,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,19,16,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727452,GSM3362222,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770345,RNA-Seq,46,PRJNA488609,SAMN09937930,154,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625918,GSM3362223,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,10,9,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727450,GSM3362223,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770346,RNA-Seq,46,PRJNA488609,SAMN09937929,158,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625919,GSM3362224,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,24,20,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727455,GSM3362224,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770347,RNA-Seq,46,PRJNA488609,SAMN09937928,159,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625920,GSM3362225,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,17,14,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727454,GSM3362225,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770348,RNA-Seq,46,PRJNA488609,SAMN09937927,161,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625921,GSM3362226,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,12,10,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727453,GSM3362226,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770349,RNA-Seq,46,PRJNA488609,SAMN09937926,162,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625922,GSM3362227,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,21,18,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727458,GSM3362227,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770350,RNA-Seq,46,PRJNA488609,SAMN09937925,164,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625923,GSM3362228,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,15,13,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727456,GSM3362228,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770351,RNA-Seq,46,PRJNA488609,SAMN09937924,166,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625924,GSM3362229,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,15,13,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727457,GSM3362229,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770352,RNA-Seq,46,PRJNA488609,SAMN09937923,167,Npy/Mia,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625925,GSM3362230,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,15,13,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727459,GSM3362230,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770353,RNA-Seq,46,PRJNA488609,SAMN09937922,168,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625926,GSM3362231,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,14,12,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727460,GSM3362231,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770354,RNA-Seq,46,PRJNA488609,SAMN09937921,169,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625927,GSM3362232,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,14,12,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727461,GSM3362232,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770355,RNA-Seq,46,PRJNA488609,SAMN09937894,170,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625928,GSM3362233,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,13,11,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727462,GSM3362233,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770356,RNA-Seq,46,PRJNA488609,SAMN09937893,171,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625929,GSM3362234,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,24,20,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727464,GSM3362234,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770357,RNA-Seq,46,PRJNA488609,SAMN09937892,172,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625930,GSM3362235,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,17,14,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727463,GSM3362235,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770358,RNA-Seq,46,PRJNA488609,SAMN09937891,175,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625931,GSM3362236,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,11,9,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727465,GSM3362236,Pvcre_striatum,SRP159173,Pvcre,dorso-lateral striatum
SRR7770359,RNA-Seq,46,PRJNA488609,SAMN09937890,181,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625932,GSM3362237,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,36,30,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727466,GSM3362237,Pvcre_striatum,SRP159173,Pvcre,dorso-lateral striatum
SRR7770360,RNA-Seq,46,PRJNA488609,SAMN09937889,182,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625933,GSM3362238,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,30,25,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727467,GSM3362238,Pvcre_striatum,SRP159173,Pvcre,dorso-lateral striatum
SRR7770361,RNA-Seq,46,PRJNA488609,SAMN09937888,187,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625934,GSM3362239,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,26,21,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727468,GSM3362239,Pvcre_striatum,SRP159173,Pvcre,dorso-lateral striatum
SRR7770362,RNA-Seq,46,PRJNA488609,SAMN09937887,189,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625935,GSM3362240,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,19,16,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727469,GSM3362240,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770363,RNA-Seq,46,PRJNA488609,SAMN09937886,190,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625936,GSM3362241,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,30,24,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727470,GSM3362241,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770364,RNA-Seq,46,PRJNA488609,SAMN09937885,197b,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625937,GSM3362242,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,17,15,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727471,GSM3362242,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770365,RNA-Seq,46,PRJNA488609,SAMN09937884,198,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625938,GSM3362243,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,20,17,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727472,GSM3362243,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770366,RNA-Seq,46,PRJNA488609,SAMN09937883,199,Npy/Mia,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625939,GSM3362244,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,23,19,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727473,GSM3362244,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770367,RNA-Seq,46,PRJNA488609,SAMN09937882,200,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625940,GSM3362245,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,22,18,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727474,GSM3362245,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770368,RNA-Seq,46,PRJNA488609,SAMN09937881,202,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625941,GSM3362246,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,24,20,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727475,GSM3362246,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770369,RNA-Seq,46,PRJNA488609,SAMN09937880,204,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625942,GSM3362247,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,13,11,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727476,GSM3362247,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770370,RNA-Seq,46,PRJNA488609,SAMN09937879,205,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625943,GSM3362248,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,23,19,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727519,GSM3362248,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770371,RNA-Seq,46,PRJNA488609,SAMN09937878,206,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625944,GSM3362249,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,12,10,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727477,GSM3362249,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770372,RNA-Seq,46,PRJNA488609,SAMN09937877,207,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625945,GSM3362250,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,20,17,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727478,GSM3362250,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770373,RNA-Seq,46,PRJNA488609,SAMN09937876,209,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625946,GSM3362251,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,13,11,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727479,GSM3362251,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770374,RNA-Seq,46,PRJNA488609,SAMN09937875,210,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625947,GSM3362252,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,16,14,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727480,GSM3362252,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770375,RNA-Seq,46,PRJNA488609,SAMN09937874,212,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625948,GSM3362253,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,17,14,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727481,GSM3362253,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770376,RNA-Seq,46,PRJNA488609,SAMN09937873,214,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625949,GSM3362254,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,20,16,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727482,GSM3362254,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770377,RNA-Seq,46,PRJNA488609,SAMN09937872,215,Npy/Mia,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625950,GSM3362255,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,12,10,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727483,GSM3362255,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770378,RNA-Seq,46,PRJNA488609,SAMN09937871,216,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625951,GSM3362256,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,29,24,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727484,GSM3362256,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770379,RNA-Seq,46,PRJNA488609,SAMN09937870,217,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625952,GSM3362257,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,31,26,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727485,GSM3362257,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770380,RNA-Seq,46,PRJNA488609,SAMN09937869,218,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625953,GSM3362258,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,29,24,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727486,GSM3362258,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770381,RNA-Seq,46,PRJNA488609,SAMN09937868,219,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625954,GSM3362259,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,15,12,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727488,GSM3362259,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
