Gene	Base_Score	Split_Score	Gini_Score	Cutoff_Age	Count	P_Value	P_Adj	Up_Down
Eif4b	0.2304	0.15973727422003287	0.07066272577996713	23.5	32	0.0009535000000000515	0.16601303378378174	Down
Lap3	0.2484	0.17556650246305425	0.07283349753694576	23.5	27	0.0007534999999999625	0.16601303378378174	Down
Letmd1	0.2496	0.177	0.0726	22.5	26	0.0009225000000000483	0.16601303378378174	Down
Rubcn	0.2304	0.15973727422003287	0.07066272577996713	23.5	32	0.0009535000000000515	0.16601303378378174	Down
Lnpep	0.2304	0.15974358974358976	0.07065641025641023	24.5	32	0.0009924999999999518	0.16601303378378174	Down
Arrdc2	0.1476	0.0962280701754386	0.051371929824561416	18.5	9	0.0009495000000000475	0.16601303378378174	Down
Fam135a	0.2436	0.171	0.0726	22.5	21	0.000915499999999958	0.16601303378378174	Down
Eml6	0.2436	0.171	0.0726	22.5	21	0.000915499999999958	0.16601303378378174	Down
Dolpp1	0.25	0.17826825127334467	0.07173174872665533	21.0	25	0.0009175000000000155	0.16601303378378174	Down
Slc25a13	0.2304	0.16229885057471263	0.06810114942528736	23.5	18	0.001055499999999987	0.16601303378378174	Down
Gm5138	0.2484	0.17752380952380953	0.07087619047619048	31.5	27	0.0008544999999999803	0.16601303378378174	Down
Gpr19	0.2484	0.17993055555555557	0.06846944444444444	19.5	27	0.0010504999999999542	0.16601303378378174	Down
Lrig2	0.2484	0.17556650246305425	0.07283349753694576	23.5	27	0.0007534999999999625	0.16601303378378174	Down
St7	0.2304	0.15974358974358976	0.07065641025641023	24.5	32	0.0009924999999999518	0.16601303378378174	Down
Gm2574	0.2484	0.17752380952380953	0.07087619047619048	31.5	27	0.0008544999999999803	0.16601303378378174	Down
Csrnp2	0.2304	0.15973727422003287	0.07066272577996713	23.5	32	0.0009535000000000515	0.16601303378378174	Down
Galk2	0.2356	0.16733333333333333	0.06826666666666667	22.5	19	0.0010324999999999918	0.16601303378378174	Down
Cndp1	0.2436	0.1715972222222222	0.0720027777777778	19.5	21	0.0010025000000000173	0.16601303378378174	Down
Prr14l	0.2496	0.179375	0.07022499999999998	19.5	24	0.0010464999999999502	0.16601303378378174	Down
Eaf2	0.2436	0.171	0.0726	22.5	21	0.000915499999999958	0.16601303378378174	Down
Fnbp1l	0.2496	0.179375	0.07022499999999998	19.5	24	0.0010464999999999502	0.16601303378378174	Down
Phykpl	0.2304	0.15973727422003287	0.07066272577996713	23.5	32	0.0009535000000000515	0.16601303378378174	Down
Gm19203	0.2484	0.17556650246305425	0.07283349753694576	23.5	27	0.0007534999999999625	0.16601303378378174	Down
Fktn	0.25	0.17826825127334467	0.07173174872665533	21.0	25	0.0009175000000000155	0.16601303378378174	Down
Zfp41	0.1476	0.10285714285714284	0.04474285714285717	23.5	9	0.001079500000000011	0.1675240066666684	Down
Garem2	0.16000000000000003	0.109375	0.05062500000000003	19.5	10	0.0011265000000000303	0.17027705844156302	Down
Epha1	0.16000000000000003	0.109375	0.05062500000000003	19.5	10	0.0011265000000000303	0.17027705844156302	Down
Trank1	0.2436	0.1753333333333333	0.0682666666666667	22.5	29	0.0012134999999999785	0.18107598076922757	Down
Bcl2l2	0.25	0.180623973727422	0.069376026272578	23.5	25	0.0012564999999999937	0.1851190316455687	Down
Pgap1	0.2176	0.15809847198641766	0.05950152801358233	21.0	16	0.001287499999999997	0.18731515624999956	Down
Zfand2a	0.2244	0.16033333333333333	0.06406666666666666	22.5	17	0.0013425000000000242	0.18825731927711184	Down
Nkiras2	0.2304	0.1659762308998302	0.06442376910016978	21.0	18	0.001319500000000029	0.18825731927711184	Down
Ascc1	0.2244	0.16033333333333333	0.06406666666666666	22.5	17	0.0013425000000000242	0.18825731927711184	Down
Sfxn5	0.1824	0.12928571428571428	0.053114285714285725	28.0	38	0.0013625000000000442	0.18878735119048232	Down
Safb2	0.19240000000000002	0.13633333333333333	0.05606666666666668	29.5	37	0.0014125000000000387	0.1889665229885109	Down
Ptrh2	0.2496	0.18133333333333332	0.06826666666666667	22.5	24	0.0013864999999999572	0.1889665229885109	Down
Src	0.2496	0.18133333333333337	0.06826666666666661	29.5	26	0.0014005000000000267	0.1889665229885109	Down
Ggh	0.2356	0.16972222222222222	0.06587777777777779	19.5	19	0.0015064999999999662	0.19379560752687577	Down
Dclre1b	0.2356	0.16972222222222222	0.06587777777777779	19.5	19	0.0015064999999999662	0.19379560752687577	Down
Abca5	0.2244	0.16249589490968802	0.06190410509031197	23.5	33	0.0015484999999999527	0.19379560752687577	Down
Pabpc1l2b-ps	0.2244	0.1628985507246377	0.0615014492753623	26.5	17	0.0015344999999999942	0.19379560752687577	Up
Ttll5	0.19240000000000002	0.13689839572192514	0.05550160427807488	30.5	37	0.001543500000000031	0.19379560752687577	Down
Inip	0.2304	0.16633333333333333	0.06406666666666666	22.5	32	0.0015384999999999982	0.19379560752687577	Down
Lyar	0.24640000000000004	0.1822222222222222	0.06417777777777783	19.5	22	0.001751500000000017	0.20119649999999578	Down
Usp27x	0.12040000000000001	0.07947368421052632	0.040926315789473686	18.5	7	0.0016644999999999577	0.20119649999999578	Down
Zfp804a	0.2496	0.182	0.0676	36.5	24	0.0017774999999999874	0.20119649999999578	Up
Gm7232	0.19240000000000002	0.1392857142857143	0.053114285714285725	28.0	37	0.0016895000000000104	0.20119649999999578	Up
Trim17	0.24840000000000004	0.18186757215619692	0.06653242784380312	21.0	23	0.0017804999999999627	0.20119649999999578	Down
Ppp1r21	0.24840000000000004	0.18186757215619692	0.06653242784380312	21.0	23	0.0017804999999999627	0.20119649999999578	Down
Gm9616	0.1716	0.11809523809523809	0.053504761904761916	17.5	11	0.0017255000000000464	0.20119649999999578	Down
Bri3	0.2244	0.16358974358974357	0.06081025641025642	24.5	33	0.0017205000000000137	0.20119649999999578	Down
Crebl2	0.24640000000000004	0.1822222222222222	0.06417777777777783	19.5	22	0.001751500000000017	0.20119649999999578	Down
Pbx4	0.24640000000000004	0.1822222222222222	0.06417777777777783	19.5	22	0.001751500000000017	0.20119649999999578	Down
Hmgb2	0.2176	0.15892857142857142	0.05867142857142857	42.0	16	0.002571499999999949	0.2040806763157921	Up
Hirip3	0.21	0.15608974358974362	0.053910256410256374	24.5	15	0.0029485000000000205	0.2040806763157921	Down
Disp3	0.16000000000000003	0.11359649122807017	0.04640350877192986	18.5	10	0.002586500000000047	0.2040806763157921	Down
Wdsub1	0.16000000000000003	0.11359649122807017	0.04640350877192986	18.5	10	0.002586500000000047	0.2040806763157921	Down
Tmem241	0.24	0.17759740259740261	0.062402597402597376	28.0	30	0.0022695000000000354	0.2040806763157921	Down
Prodh	0.25	0.1875	0.0625	19.5	25	0.0026644999999999586	0.2040806763157921	Down
Asphd1	0.2436	0.18288624787775892	0.06071375212224109	21.0	29	0.0033315000000000428	0.2040806763157921	Down
Psmf1	0.2304	0.16877005347593582	0.06162994652406417	30.5	32	0.0018905000000000172	0.2040806763157921	Down
Slc16a1	0.2436	0.18088669950738917	0.06271330049261084	23.5	21	0.002534499999999995	0.2040806763157921	Down
Olfr648	0.24	0.17999999999999997	0.060000000000000026	22.5	30	0.002826499999999954	0.2040806763157921	Down
Setx	0.2436	0.18088669950738917	0.06271330049261084	23.5	21	0.002534499999999995	0.2040806763157921	Down
Slain2	0.24639999999999998	0.18555555555555558	0.060844444444444395	19.5	28	0.0029725000000000446	0.2040806763157921	Down
Ndc1	0.2436	0.18207130730050936	0.061528692699490656	21.0	21	0.002811499999999967	0.2040806763157921	Down
Rbbp5	0.25	0.19	0.06	22.5	25	0.0031894999999999563	0.2040806763157921	Down
Htr2a	0.16000000000000003	0.11666666666666664	0.04333333333333339	24.5	10	0.0028015000000000123	0.2040806763157921	Down
Togaram1	0.2484	0.18433333333333335	0.06406666666666666	22.5	27	0.0028055000000000163	0.2040806763157921	Down
Map3k1	0.2356	0.17688013136289002	0.058719868637109984	23.5	31	0.0032005000000000505	0.2040806763157921	Down
Usp28	0.25	0.1875	0.0625	19.5	25	0.0026644999999999586	0.2040806763157921	Down
Prkdc	0.25	0.19	0.06	22.5	25	0.0031894999999999563	0.2040806763157921	Down
Gm49530	0.25	0.19	0.06	22.5	25	0.0031894999999999563	0.2040806763157921	Down
Stxbp2	0.2356	0.1707017543859649	0.0648982456140351	35.0	31	0.0021575000000000344	0.2040806763157921	Down
Gm4986	0.12040000000000001	0.08249322493224932	0.037906775067750684	37.5	7	0.002266499999999949	0.2040806763157921	Up
Rbm4	0.2496	0.18880570409982173	0.06079429590017826	30.5	26	0.002691499999999958	0.2040806763157921	Down
Evi5	0.2356	0.17688013136289002	0.058719868637109984	23.5	31	0.0032005000000000505	0.2040806763157921	Down
AC116658.2	0.1344	0.09321428571428574	0.041185714285714256	17.5	8	0.0029455000000000453	0.2040806763157921	Down
Dmpk	0.19240000000000002	0.14200328407224957	0.05039671592775044	23.5	13	0.00276350000000003	0.2040806763157921	Down
Wwc2	0.2176	0.15921052631578944	0.05838947368421055	18.5	16	0.0032455000000000123	0.2040806763157921	Down
Zfp617	0.2436	0.18288624787775892	0.06071375212224109	21.0	29	0.0033315000000000428	0.2040806763157921	Down
Slc36a4	0.24	0.17999999999999997	0.060000000000000026	22.5	30	0.002826499999999954	0.2040806763157921	Down
Ubr2	0.17159999999999997	0.12319999999999999	0.048399999999999985	25.5	39	0.002242500000000036	0.2040806763157921	Down
Pygo2	0.24	0.18	0.06	29.5	20	0.0033134999999999692	0.2040806763157921	Down
Gm9987	0.1824	0.13215619694397285	0.05024380305602716	21.0	12	0.0019215000000000204	0.2040806763157921	Down
Rab3gap2	0.21000000000000002	0.14839743589743587	0.06160256410256415	24.5	35	0.001871500000000026	0.2040806763157921	Down
Tent5a	0.2436	0.18435897435897433	0.05924102564102568	24.5	29	0.0033315000000000428	0.2040806763157921	Down
Larp7	0.2244	0.16801313628899833	0.056386863711001656	23.5	17	0.001955499999999999	0.2040806763157921	Down
Kat6b	0.24840000000000004	0.18239737274220033	0.0660026272577997	23.5	23	0.0021164999999999656	0.2040806763157921	Down
Rab36	0.24640000000000004	0.18233333333333335	0.06406666666666669	22.5	22	0.0022655000000000314	0.2040806763157921	Down
Ddx28	0.21	0.1566502463054187	0.05334975369458128	23.5	15	0.00328649999999997	0.2040806763157921	Down
Abcb7	0.24639999999999998	0.18246305418719214	0.06393694581280784	23.5	28	0.002415500000000015	0.2040806763157921	Down
Smarcal1	0.24639999999999998	0.18246305418719214	0.06393694581280784	23.5	28	0.002415500000000015	0.2040806763157921	Down
Csrnp1	0.2356	0.17609195402298852	0.05950804597701148	23.5	19	0.0025684999999999736	0.2040806763157921	Down
Tet1	0.21	0.15	0.06	22.5	15	0.00225949999999997	0.2040806763157921	Down
Slf2	0.24	0.18	0.06	29.5	30	0.003254500000000049	0.2040806763157921	Down
Limk1	0.25	0.19	0.06	22.5	25	0.0031894999999999563	0.2040806763157921	Down
Uri1	0.2436	0.18435897435897433	0.05924102564102568	24.5	29	0.0033315000000000428	0.2040806763157921	Down
Tcp11l1	0.2016	0.14916666666666664	0.05243333333333336	24.5	36	0.0022805000000000186	0.2040806763157921	Down
Hbp1	0.25	0.19	0.06	22.5	25	0.0031894999999999563	0.2040806763157921	Down
Tmem198	0.24639999999999998	0.18555555555555558	0.060844444444444395	19.5	28	0.0029725000000000446	0.2040806763157921	Down
Aldh1l1	0.19240000000000002	0.14017543859649123	0.052224561403508785	18.5	13	0.0026055000000000383	0.2040806763157921	Down
Hacd4	0.1344	0.09321428571428574	0.041185714285714256	17.5	8	0.0029455000000000453	0.2040806763157921	Down
Tmem178b	0.2436	0.18435897435897433	0.05924102564102568	24.5	29	0.0033315000000000428	0.2040806763157921	Down
Usf1	0.2016	0.15181964573268922	0.049780354267310784	26.5	36	0.0031124999999999625	0.2040806763157921	Down
Zfp957	0.12040000000000001	0.08555555555555557	0.03484444444444444	19.5	7	0.002266499999999949	0.2040806763157921	Down
Chic1	0.2356	0.17688013136289002	0.058719868637109984	23.5	31	0.0032005000000000505	0.2040806763157921	Down
Ss18	0.2356	0.1707017543859649	0.0648982456140351	18.5	19	0.002083500000000016	0.2040806763157921	Down
Insr	0.2496	0.18889983579638753	0.06070016420361246	23.5	26	0.0029335000000000333	0.2040806763157921	Down
Urm1	0.2304	0.17249575551782684	0.057904244482173156	21.0	32	0.002795499999999951	0.2040806763157921	Down
Chaf1b	0.21	0.15555555555555556	0.054444444444444434	19.5	15	0.0029485000000000205	0.2040806763157921	Down
Tmed8	0.24840000000000004	0.18239737274220033	0.0660026272577997	23.5	23	0.0021164999999999656	0.2040806763157921	Down
Paqr8	0.2176	0.15921052631578944	0.05838947368421055	18.5	16	0.0032455000000000123	0.2040806763157921	Down
Gtpbp10	0.1476	0.1082638888888889	0.03933611111111111	19.5	9	0.0026454999999999673	0.2040806763157921	Down
Lrp8	0.2016	0.14916666666666664	0.05243333333333336	24.5	36	0.0022805000000000186	0.2040806763157921	Down
Ptchd4	0.2356	0.17557692307692307	0.06002307692307693	24.5	31	0.0025374999999999703	0.2040806763157921	Down
Prmt9	0.24	0.17999999999999997	0.060000000000000026	22.5	30	0.002826499999999954	0.2040806763157921	Down
Wdr44	0.24840000000000004	0.18433333333333335	0.06406666666666669	29.5	23	0.0028804999999999525	0.2040806763157921	Down
Mthfd2	0.19240000000000002	0.14017543859649123	0.052224561403508785	18.5	13	0.0026055000000000383	0.2040806763157921	Down
Mocs1	0.21	0.15	0.06	22.5	15	0.00225949999999997	0.2040806763157921	Down
4931428L18Rik	0.2436	0.18207130730050936	0.061528692699490656	21.0	21	0.002811499999999967	0.2040806763157921	Down
Zfp93	0.21	0.15	0.06	22.5	15	0.00225949999999997	0.2040806763157921	Down
Gm21738	0.2176	0.15892857142857142	0.05867142857142857	17.5	16	0.002571499999999949	0.2040806763157921	Down
4930447C04Rik	0.25	0.1875	0.0625	19.5	25	0.0026644999999999586	0.2040806763157921	Down
Utp18	0.25	0.1875	0.0625	19.5	25	0.0026644999999999586	0.2040806763157921	Down
Eml2	0.2436	0.18435897435897433	0.05924102564102568	24.5	29	0.0033315000000000428	0.2040806763157921	Down
Tti1	0.19240000000000002	0.14017543859649123	0.052224561403508785	18.5	13	0.0026055000000000383	0.2040806763157921	Down
Myg1	0.24	0.17999999999999997	0.060000000000000026	22.5	30	0.002826499999999954	0.2040806763157921	Down
Capn7	0.2436	0.18288624787775892	0.06071375212224109	21.0	29	0.0033315000000000428	0.2040806763157921	Down
4930453N24Rik	0.24639999999999998	0.18555555555555558	0.060844444444444395	19.5	28	0.0029725000000000446	0.2040806763157921	Down
Cln3	0.21	0.15555555555555556	0.054444444444444434	19.5	15	0.0029485000000000205	0.2040806763157921	Down
Gm3544	0.1476	0.1082638888888889	0.03933611111111111	19.5	9	0.0026454999999999673	0.2040806763157921	Down
Rnf138	0.24639999999999998	0.18246305418719214	0.06393694581280784	23.5	28	0.002415500000000015	0.2040806763157921	Down
Ehd4	0.2356	0.17609195402298852	0.05950804597701148	23.5	19	0.0025684999999999736	0.2040806763157921	Down
Gm20388	0.24840000000000004	0.18239737274220033	0.0660026272577997	23.5	23	0.0021164999999999656	0.2040806763157921	Down
Gm20517	0.19240000000000002	0.14017543859649123	0.052224561403508785	18.5	13	0.0026055000000000383	0.2040806763157921	Down
Dusp26	0.2304	0.16877005347593582	0.06162994652406417	30.5	32	0.0018905000000000172	0.2040806763157921	Down
Cntn2	0.24639999999999998	0.18555555555555558	0.060844444444444395	19.5	28	0.0029725000000000446	0.2040806763157921	Down
Mkl1	0.2496	0.18601018675721562	0.06358981324278437	21.0	26	0.002470500000000042	0.2040806763157921	Down
Camsap1	0.24639999999999998	0.18246305418719214	0.06393694581280784	23.5	28	0.002415500000000015	0.2040806763157921	Down
Zfp146	0.19240000000000002	0.14326388888888889	0.04913611111111113	19.5	13	0.0033895000000000453	0.2054707838541694	Down
Gm11427	0.19240000000000002	0.14326388888888889	0.04913611111111113	19.5	13	0.0033895000000000453	0.2054707838541694	Down
Bglap	0.2176	0.15993506493506493	0.05766493506493506	28.0	16	0.0034634999999999527	0.20886879015543755	Up
Pfas	0.2016	0.153	0.048600000000000004	29.5	36	0.0035574999999999912	0.2134316623711335	Down
Crh	0.2016	0.153	0.048600000000000004	22.5	14	0.003630499999999981	0.21669430512820398	Down
Galnt13	0.1824	0.13285714285714284	0.049542857142857166	17.5	12	0.003782500000000022	0.21686954433497663	Down
Chn2	0.25	0.19000000000000003	0.05999999999999997	29.5	25	0.0037485000000000435	0.21686954433497663	Down
Fam126a	0.2304	0.17433333333333334	0.056066666666666654	22.5	18	0.0036715000000000497	0.21686954433497663	Down
Myo5b	0.25	0.19000000000000003	0.05999999999999997	29.5	25	0.0037485000000000435	0.21686954433497663	Down
Gm20336	0.1824	0.13285714285714284	0.049542857142857166	17.5	12	0.003782500000000022	0.21686954433497663	Down
Ptprf	0.1824	0.13285714285714284	0.049542857142857166	17.5	12	0.003782500000000022	0.21686954433497663	Down
Fig4	0.2496	0.18938596491228077	0.06021403508771922	18.5	24	0.003749499999999961	0.21686954433497663	Down
Usp49	0.1824	0.13285714285714284	0.049542857142857166	17.5	12	0.003782500000000022	0.21686954433497663	Down
Zfp46	0.2356	0.1788794567062818	0.0567205432937182	21.0	19	0.0038595000000000157	0.2180617500000009	Down
Mut	0.2356	0.1788794567062818	0.0567205432937182	21.0	19	0.0038595000000000157	0.2180617500000009	Down
Zbtb9	0.2356	0.1788794567062818	0.0567205432937182	21.0	19	0.0038595000000000157	0.2180617500000009	Down
Ppp1r15a	0.1824	0.13404186795491146	0.04835813204508854	26.5	38	0.003898500000000027	0.2192011666666682	Down
Samd12	0.24640000000000004	0.18666666666666668	0.05973333333333336	42.0	22	0.004407500000000009	0.22239860381356202	Up
Gm13212	0.1056	0.07809523809523808	0.02750476190476192	17.5	6	0.004505500000000051	0.22239860381356202	Down
Pfkfb2	0.2176	0.1638752052545156	0.05372479474548439	23.5	34	0.004475499999999966	0.22239860381356202	Down
Gm8153	0.1056	0.07780701754385964	0.027792982456140355	18.5	6	0.004505500000000051	0.22239860381356202	Down
Bcor	0.25	0.19230769230769235	0.057692307692307654	24.5	25	0.004185499999999953	0.22239860381356202	Down
Gm7545	0.1056	0.07809523809523808	0.02750476190476192	17.5	6	0.004505500000000051	0.22239860381356202	Down
Gm15950	0.21000000000000002	0.15989159891598914	0.05010840108401088	37.5	35	0.004314499999999999	0.22239860381356202	Down
Hsd17b7	0.2304	0.1775	0.0529	19.5	18	0.004345500000000002	0.22239860381356202	Down
Gm18775	0.1056	0.07809523809523808	0.02750476190476192	17.5	6	0.004505500000000051	0.22239860381356202	Down
Gm37713	0.1056	0.07809523809523808	0.02750476190476192	17.5	6	0.004505500000000051	0.22239860381356202	Down
Them6	0.24	0.18159722222222222	0.058402777777777776	19.5	30	0.004480499999999998	0.22239860381356202	Up
Nod2	0.1056	0.07809523809523808	0.02750476190476192	42.0	6	0.004505500000000051	0.22239860381356202	Up
Smc5	0.24840000000000004	0.19147435897435897	0.05692564102564107	24.5	23	0.004509500000000055	0.22239860381356202	Down
Gpkow	0.2484	0.18993589743589745	0.05846410256410256	24.5	27	0.004062499999999969	0.22239860381356202	Down
Pgm2	0.24640000000000004	0.18666666666666668	0.05973333333333336	17.5	22	0.004407500000000009	0.22239860381356202	Down
Smyd4	0.2484	0.18993589743589745	0.05846410256410256	24.5	27	0.004062499999999969	0.22239860381356202	Down
Gm8170	0.1056	0.07809523809523808	0.02750476190476192	17.5	6	0.004505500000000051	0.22239860381356202	Down
Ksr1	0.24840000000000004	0.19147435897435897	0.05692564102564107	24.5	23	0.004509500000000055	0.22239860381356202	Down
Kcnq4	0.1056	0.07780701754385964	0.027792982456140355	18.5	6	0.004505500000000051	0.22239860381356202	Down
Snx30	0.2176	0.1638752052545156	0.05372479474548439	23.5	34	0.004475499999999966	0.22239860381356202	Down
Gm15781	0.1056	0.07809523809523808	0.02750476190476192	17.5	6	0.004505500000000051	0.22239860381356202	Down
Tbc1d2b	0.2356	0.1801923076923077	0.0554076923076923	24.5	19	0.004308500000000048	0.22239860381356202	Down
Rpl21-ps10	0.25	0.19230769230769235	0.057692307692307654	24.5	25	0.004185499999999953	0.22239860381356202	Up
Atp6v0a2	0.2176	0.1638752052545156	0.05372479474548439	23.5	34	0.004475499999999966	0.22239860381356202	Down
Nars2	0.2484	0.18993589743589745	0.05846410256410256	24.5	27	0.004062499999999969	0.22239860381356202	Down
Ankmy1	0.1056	0.07780701754385964	0.027792982456140355	18.5	6	0.004505500000000051	0.22239860381356202	Down
Tomm20l	0.1056	0.07780701754385964	0.027792982456140355	18.5	6	0.004505500000000051	0.22239860381356202	Down
Olfr740	0.25	0.19230769230769235	0.057692307692307654	24.5	25	0.004185499999999953	0.22239860381356202	Down
Cdyl2	0.1056	0.07780701754385964	0.027792982456140355	18.5	6	0.004505500000000051	0.22239860381356202	Down
Klhdc8a	0.2496	0.19089983022071308	0.05870016977928691	21.0	24	0.004639500000000019	0.22313694421487693	Down
Rwdd2a	0.2496	0.19089983022071308	0.05870016977928691	21.0	24	0.004639500000000019	0.22313694421487693	Down
Coq8b	0.24	0.18159722222222222	0.058402777777777776	19.5	20	0.004572499999999979	0.22313694421487693	Down
Lrrc14	0.2496	0.19089983022071308	0.05870016977928691	21.0	24	0.004639500000000019	0.22313694421487693	Down
Gtpbp3	0.2496	0.19089983022071308	0.05870016977928691	21.0	24	0.004639500000000019	0.22313694421487693	Down
Slc35a2	0.2496	0.19089983022071308	0.05870016977928691	21.0	24	0.004639500000000019	0.22313694421487693	Down
Cks2	0.1824	0.13733333333333334	0.04506666666666667	22.5	12	0.004726499999999967	0.22638573456789965	Down
Slc12a3	0.12040000000000001	0.091	0.02940000000000001	22.5	7	0.004806500000000047	0.227409973577238	Down
Nostrin	0.12040000000000001	0.091	0.02940000000000001	22.5	7	0.004806500000000047	0.227409973577238	Down
Afap1	0.1824	0.13733333333333334	0.04506666666666667	29.5	38	0.004803499999999961	0.227409973577238	Down
